"№","Web-Site","Name","Info","Time"
"45","Datacamp.com","DAX in Power BI ","          Data Analysis Expressions (DAX) allow you to take your Power BI skills to the next level by writing custom functions.         ","6 hours"
"46","Datacamp.com","Cleaning Data in R ","          Develop the skills you need to go from raw data to awesome insights as quickly and accurately as possible.         ","4 hours"
"47","Datacamp.com","Introduction to Natural Language Processing in Python ","          Learn fundamental natural language processing techniques using Python and how to apply them to extract insights from real world text data.","4 hours"
"48","Datacamp.com","Cloud Computing for Everyone ","          A non coding introduction to the world of cloud computing.","2 hours"
"49","Datacamp.com","Streamlined Data Ingestion with pandas ","          Learn to acquire data from common file formats and systems such as CSV files, spreadsheets, JSON, SQL databases, and APIs.         ","4 hours"
"50","Datacamp.com","Exploring the Evolution of Lego ","          In this project, we will use data manipulation skills to zoom in on a time when Lego explored a new direction for their toy line! ","45 minutes"
"51","Datacamp.com","Name Game: Gender Prediction using Sound ","          Analyze the gender distribution of children's book writers and use sound to match names to gender. ","45 minutes"
"52","Datacamp.com","","           Visualize the rise of COVID",""
"53","Datacamp.com","Exploring the Bitcoin Cryptocurrency Market ","          You will explore the market capitalization of Bitcoin and other cryptocurrencies. ","45 minutes"
"54","Datacamp.com","Text Mining America's Toughest Game Show ","          Use text mining to analyze Jeopardy! data.  ","45 minutes"
"55","Datacamp.com","Wrangling and Visualizing Musical Data ","          Wrangle and visualize musical data to find common chords and compare the styles of different artists. ","45 minutes"
"56","Datacamp.com","Real time Insights from Social Media Data","           Learn to analyze Twitter data and do a deep dive into a hot trend.",""
"57","Datacamp.com","A Network Analysis of Game of Thrones ","          Analyze the network of characters in Game of Thrones and how it changes over the course of the books. ","45 minutes"
"58","Datacamp.com","Importing and Cleaning Data ","          Apply your importing and data cleaning skills to real world soccer data.",""
"59","Datacamp.com","Analyze International Debt Statistics ","          Write SQL queries to answer interesting questions about international debt using data from The World Bank. ","45 minutes"
"60","Datacamp.com","Disney Movies and Box Office Success ","          Explore Disney movie data, then build a linear regression model to predict box office success. ","45 minutes"
"61","Datacamp.com","Exploring the Kaggle Data Science Survey ","          Discover the top tools Kaggle participants use for data science and machine learning.  ","45 minutes"
"62","Datacamp.com","Modeling the Volatility of US Bond Yields ","          Discover how the US bond yields behave using descriptive statistics and advanced modeling. ","45 minutes"
"63","Datacamp.com","Analyze Your Runkeeper Fitness Data ","          Import, clean, and analyze seven years worth of training data tracked on the Runkeeper app. ","45 minutes"
"64","Datacamp.com","What Makes a Pokémon Legendary? ","          Use tree based machine learning methods to identify the characteristics of legendary Pokémon.",""
"65","Datacamp.com","Kidney Stones and Simpson's Paradox ","          Use logistic regression to determine which treatment procedure is more effective for kidney stone removal. ","45 minutes"
"66","Datacamp.com","Comparing Cosmetics by Ingredients ","          Process ingredient lists for cosmetics on Sephora then visualize similarity using t SNE and Bokeh.",""
"67","Datacamp.com","TV, Halftime Shows, and the Big Game ","          Load, clean, and explore Super Bowl data in the age of soaring ad costs and flashy halftime shows. ","45 minutes"
"68","Datacamp.com","Analyzing TV Data ","          Use data manipulation and visualization to explore one of two different television broadcast datasets: The Super Bowl and hit sitcom The Office! ","45 minutes"
"69","Datacamp.com","Bad Passwords and the NIST Guidelines ","          Check what passwords fail to conform to the National Institute of Standards and Technology password guidelines. ","45 minutes"
"70","Datacamp.com","Health Survey Data Analysis of BMI ","          Analyze health survey data to determine how BMI is associated with physical activity and smoking. ","45 minutes"
"71","Datacamp.com","Trends in Maryland Crime Rates ","          Apply hierarchical and mixed effect models to analyze Maryland crime rates.",""
"72","Datacamp.com","Are You Ready for the Zombie Apocalypse? ","          Use your logistic regression skills to protect people from becoming zombies!  ","45 minutes"
"73","Datacamp.com","The Impact of Climate Change on Birds ","           Predict the impact of climate change on bird distributions using spatial data and machine learning.",""
"74","Datacamp.com","Risk and Returns: The Sharpe Ratio ","          Use pandas to calculate and compare profitability and risk of different investments using the Sharpe Ratio. ","45 minutes"
"75","Datacamp.com","Find Movie Similarity from Plot Summaries ","          Use NLP and clustering on movie plot summaries from IMDb and Wikipedia to quantify movie similarity. ","45 minutes"
"76","Datacamp.com","Give Life: Predict Blood Donations ","          Build a binary classifier to predict if a blood donor is likely to donate again. ","45 minutes"
"77","Datacamp.com","Clustering Bustabit Gambling Behavior ","          Use cluster analysis to glean insights into cryptocurrency gambling behavior. ","45 minutes"
"78","Datacamp.com","Planning Public Policy in Argentina ","          Apply unsupervised learning techniques to help plan an education program in Argentina. ","45 minutes"
"79","Datacamp.com","Phyllotaxis: Draw Flowers Using Mathematics ","          Use R to make art and create imaginary flowers inspired by nature. ","45 minutes"
"80","Datacamp.com","The Android App Market on Google Play ","          Load, clean, and visualize scraped Google Play Store data to gain insights into the Android app market. ","45 minutes"
"81","Datacamp.com","Data Science for Social Good: Crime Study ","          Use data science to catch criminals, plus find new ways to volunteer personal time for social good. ","45 minutes"
"82","Datacamp.com","Extract Stock Sentiment from News Headlines ","          Scrape news headlines for FB and TSLA then apply sentiment analysis to generate investment insight. ","45 minutes"
"83","Datacamp.com","Book Recommendations from Charles Darwin ","          Build a book recommendation system using NLP and the text of books like ""On the Origin of Species."" ","45 minutes"
"84","Datacamp.com","Degrees That Pay You Back ","          Explore the salary potential of college majors with a k means cluster analysis.",""
"85","Datacamp.com","Introduction to DataCamp Projects ","          If you've never done a DataCamp project, this is the place to start! ","30 minutes"
"86","Datacamp.com","Gender Bias in Graduate Admissions ","          Analyze admissions data from UC Berkeley and find out if the university was biased against women. ","45 minutes"
"87","Datacamp.com","Going Down to South Park: A Text Analysis ","          Analyze the dialog and IMDB ratings of 287 South Park episodes. Warning: contains explicit language. ","45 minutes"
"88","Datacamp.com","Predicting Credit Card Approvals ","          Build a machine learning model to predict if a credit card application will get approved.  ","45 minutes"
"89","Datacamp.com","Naïve Bees: Deep Learning with Images ","          Build a deep learning model that can automatically detect honey bees and bumble bees in images. ","45 minutes"
"90","Datacamp.com","Clustering Heart Disease Patient Data ","          Experiment with clustering algorithms to help doctors inform treatment for heart disease patients.         ","45 minutes"
"91","Datacamp.com","Where Are the Fishes? ","          Explore acoustic backscatter data to find fish in the U.S. Atlantic Ocean.  ","45 minutes"
"92","Datacamp.com","Comparing Search Interest with Google Trends ","          Manipulate and plot time series data from Google Trends to analyze changes in search interest over time. ","45 minutes"
"93","Datacamp.com","Functions for Food Price Forecasts ","          Write functions to forecast time series of food prices in Rwanda. ","45 minutes"
"94","Datacamp.com","A Text Analysis of Trump's Tweets ","          Apply text mining to Donald Trump's tweets to confirm if he writes the (angrier) Android half.  ","45 minutes"
"95","Datacamp.com","ASL Recognition with Deep Learning ","          Build a convolutional neural network to classify images of letters from American Sign Language. ","45 minutes"
"96","Datacamp.com","Which Debts Are Worth the Bank's Effort? ","          Play bank data scientist and use regression discontinuity to see which debts are worth collecting. ","45 minutes"
"97","Datacamp.com","Predict Taxi Fares with Random Forests ","          Use regression trees and random forests to find places where New York taxi drivers earn the most.  ","45 minutes"
"98","Datacamp.com","Dr. Semmelweis and the Discovery of Handwashing ","          Reanalyse the data behind one of the most important discoveries of modern medicine: handwashing. ","60 minutes"
"99","Datacamp.com","Drunken Datetimes in Ames, Iowa ","          Apply your skills from ""Working with Dates and Times in R"" to breathalyzer data from Ames, Iowa.  ","45 minutes"
"100","Open_edu","A question of ethics: right or wrong?","Intermediate","7"
"101","Open_edu","Accessibility and inclusion in digital health","Introductory","4"
"102","Open_edu","Accessibility of eLearning","Advanced","15"
"103","Open_edu","Active, healthy lifestyles","Introductory","10"
"104","Open_edu","Am I ready to be a distance learner?","Introductory","3"
"105","Open_edu","An introduction to data and information","Introductory","20"
"106","Open_edu","An introduction to data and information in health and social care","Introductory","12"
"107","Open_edu","An introduction to death, dying and grief","Intermediate","7"
"108","Open_edu","An introduction to design engineering","Introductory","10"
"109","Open_edu","An introduction to social work","Introductory","15"
"110","Open_edu","An introduction to social work in Wales","Introductory","10"
"111","Open_edu","Astudio meddygaeth yn ddwyieithog","Beginner","1"
"112","Open_edu","Attachment in the early years","Intermediate","6"
"113","Open_edu","Becoming a critical social work practitioner","Advanced","15"
"114","Open_edu","Beth amdana i? Cwrs datblygiad personol ar gyfer gofalwyr yng Nghymru","Beginner","5"
"115","Open_edu","Business communication: writing a SWOT analysis","Introductory","8"
"116","Open_edu","Campaigns and organisations","Advanced","2"
"117","Open_edu","Caring for adults","Beginner","15"
"118","Open_edu","Challenging ideas in mental health","Intermediate","8"
"119","Open_edu","Childhood in crisis?","Intermediate","6"
"120","Open_edu","Childhood in the digital age","Introductory","12"
"121","Open_edu","Children and young people’s participation","Advanced","12"
"122","Open_edu","Coaching others to coach","Intermediate","24"
"123","Open_edu","Collective leadership","Introductory","6"
"124","Open_edu","Commercial awareness","Introductory","2"
"125","Open_edu","Communication and working relationships in sport and fitness","Introductory","24"
"126","Open_edu","Communication, management and your own context","Advanced","8"
"127","Open_edu","Completing the project","Advanced","8"
"128","Open_edu","Contemporary issues in managing","Introductory","8"
"129","Open_edu","Conversations and interviews","Intermediate","5"
"130","Open_edu","Coping in isolation: Time to Think","Introductory","6"
"131","Open_edu","Cyflwyniad i waith cymdeithasol","Beginner","15"
"132","Open_edu","Cyflwyniad i waith cymdeithasol yng Nghymru","Beginner","10"
"133","Open_edu","Death and medicine: Postponement and promise","Intermediate","1"
"134","Open_edu","Dechrau gyda seicoleg","Beginner","5"
"135","Open_edu","Decision trees and dealing with uncertainty","Advanced","5"
"136","Open_edu","Design thinking","Introductory","10"
"137","Open_edu","Developing career resilience","Introductory","24"
"138","Open_edu","Developing high trust work relationships","Intermediate","2"
"139","Open_edu","Difference and challenge in teams","Introductory","2"
"140","Open_edu","Digital innovation in social care and social work","Introductory","4"
"141","Open_edu","Digital skills: succeeding in a digital world","Introductory","24"
"142","Open_edu","Discovering management","Advanced","15"
"143","Open_edu","Diversity and difference in communication","Introductory","16"
"144","Open_edu","Drug development process: combating pain","Advanced","2"
"145","Open_edu","Eating to win: activity, diet and weight control","Introductory","6"
"146","Open_edu","Effective communication in the workplace","Introductory","24"
"147","Open_edu","Effective ways of displaying information","Introductory","6"
"148","Open_edu","Emotions and emotional disorders","Intermediate","6"
"149","Open_edu","Employee engagement","Advanced","10"
"150","Open_edu","Employment relations and employee engagement","Advanced","10"
"151","Open_edu","Entrepreneurial behaviour","Advanced","20"
"152","Open_edu","Entrepreneurial impressions – reflection","Advanced","7"
"153","Open_edu","Entrepreneurship – from ideas to reality","Intermediate","24"
"154","Open_edu","Essay and report writing skills","Introductory","15"
"155","Open_edu","Exercise and mental health","Intermediate","2"
"156","Open_edu","Exploring anxiety","Advanced","9"
"157","Open_edu","Exploring career mentoring and coaching","Introductory","24"
"158","Open_edu","Exploring depression","Advanced","7"
"159","Open_edu","Exploring family health","Introductory","8"
"160","Open_edu","Exploring health: is your lifestyle really to blame?","Intermediate","4"
"161","Open_edu","Exploring issues in women's health","Intermediate","3"
"162","Open_edu","Exploring learning disabilities: supporting belonging","Introductory","24"
"163","Open_edu","Exploring sport coaching and psychology","Introductory","24"
"164","Open_edu","Exploring sport online: Athletes and efficient hearts","Introductory","5"
"165","Open_edu","Exploring the psychological aspects of sport injury","Intermediate","24"
"166","Open_edu","Exploring the relationship between anxiety and depression","Advanced","3"
"167","Open_edu","Facilitating group discussions","Introductory","2"
"168","Open_edu","Financial accounting and reporting","Intermediate","12"
"169","Open_edu","Forensic psychology","Introductory","24"
"170","Open_edu","Forensic science and fingerprints","Introductory","10"
"171","Open_edu","Foundations for self-directed support in Scotland","Introductory","50"
"172","Open_edu","From sound to meaning: hearing, speech and language","Intermediate","12"
"173","Open_edu","Getting started with SPSS","Introductory","3"
"174","Open_edu","Gofalu am oedolion","Beginner","15"
"175","Open_edu","Grammar matters","Advanced","8"
"176","Open_edu","Groups and teamwork","Intermediate","20"
"177","Open_edu","Health and environment","Intermediate","12"
"178","Open_edu","Health and safety in the laboratory and field","Introductory","1"
"179","Open_edu","Homelessness and need","Intermediate","1"
"180","Open_edu","How teams work","Advanced","10"
"181","Open_edu","How to frame a business case","Intermediate","8"
"182","Open_edu","Identity in question","Introductory","12"
"183","Open_edu","Imaging in medicine","Advanced","15"
"184","Open_edu","Implementing the project","Advanced","8"
"185","Open_edu","Improving aerobic fitness","Introductory","2"
"186","Open_edu","Infection and immunity","Introductory","12"
"187","Open_edu","Information security","Advanced","10"
"188","Open_edu","Innovation in health and social care practice","Introductory","4"
"189","Open_edu","Innovation in health and social care: social and historical","Introductory","4"
"190","Open_edu","Innovation through representation","Advanced","15"
"191","Open_edu","International management: An institutional perspective","Advanced","15"
"192","Open_edu","Internships and other work experiences","Introductory","24"
"193","Open_edu","Interpreting data: Boxplots and tables","Intermediate","16"
"194","Open_edu","Interview with a social worker","Introductory","1"
"195","Open_edu","Introducing ageing","Introductory","11"
"196","Open_edu","Introducing computing and IT","Introductory","10"
"197","Open_edu","Introducing corporate finance","Advanced","20"
"198","Open_edu","Introducing healthcare improvement","Advanced","3"
"199","Open_edu","Introducing ICT systems","Introductory","9"
"200","Open_edu","Introducing public health","Intermediate","6"
"201","Open_edu","Introducing social work: a starter kit","Advanced","12"
"202","Open_edu","Introducing the voluntary sector","Introductory","24"
"203","Open_edu","Introduction to child psychology","Introductory","8"
"204","Open_edu","Investigating psychology","Intermediate","3"
"205","Open_edu","Issues in research with children and young people","Advanced","7"
"206","Open_edu","IT: Information","Introductory","20"
"207","Open_edu","Key skill assessment unit: Information technology","Introductory","50"
"208","Open_edu","Key skill assessment unit: Working with others","Introductory","50"
"209","Open_edu","Key skill assessment: Communication","Introductory","50"
"210","Open_edu","Language and creativity","Intermediate","8"
"211","Open_edu","Languages at Work","Introductory","6"
"212","Open_edu","Lead and manage change in health and social care","Advanced","7"
"213","Open_edu","Leadership challenges in turbulent times","Intermediate","6"
"214","Open_edu","Learning from sport burnout and overtraining","Intermediate","24"
"215","Open_edu","Learning, thinking and doing","Introductory","16"
"216","Open_edu","Living psychology: animal minds","Intermediate","12"
"217","Open_edu","Lottery of birth","Introductory","12"
"218","Open_edu","Making sense of mental health problems","Intermediate","10"
"219","Open_edu","Making sense of ourselves","Intermediate","4"
"220","Open_edu","Managing and managing people","Advanced","8"
"221","Open_edu","Managing Complexity: A Systems Approach","Advanced","20"
"222","Open_edu","Managing projects through people","Advanced","8"
"223","Open_edu","Managing relationships","Advanced","4"
"224","Open_edu","Managing virtual project teams","Advanced","8"
"225","Open_edu","Marketing communications as a strategic function","Advanced","6"
"226","Open_edu","Marketing in the 21st Century","Advanced","6"
"227","Open_edu","Mindfulness in mental health and prison settings","Intermediate","10"
"228","Open_edu","More working with charts, graphs and tables","Introductory","15"
"229","Open_edu","Motivation and factors affecting motivation","Introductory","5"
"230","Open_edu","Numbers, units and arithmetic","Introductory","5"
"231","Open_edu","Obesity: Balanced diets and treatment","Intermediate","15"
"232","Open_edu","Panic attacks: what they are and what to do about them","Intermediate","3"
"233","Open_edu","Partnerships and networks in work with young people","Intermediate","10"
"234","Open_edu","People-centred designing","Introductory","12"
"235","Open_edu","Personal branding for career success","Introductory","24"
"236","Open_edu","Perspectives on social work: Individual stories","Beginner","2"
"237","Open_edu","Physical activity for health and wellbeing in the caring role","Introductory","6"
"238","Open_edu","Physical activity: a family affair","Advanced","15"
"239","Open_edu","Planning a project","Advanced","8"
"240","Open_edu","Population ageing: a global health crisis?","Intermediate","6"
"241","Open_edu","Predictive medicine","Introductory","4"
"242","Open_edu","Preparing a project","Advanced","8"
"243","Open_edu","Preparing for your digital life in the 21st Century","Introductory","10"
"244","Open_edu","Presenting information","Introductory","3"
"245","Open_edu","Professional relationships with young people","Introductory","8"
"246","Open_edu","Project management: the start of the project journey","Advanced","35"
"247","Open_edu","Psychological research, obedience and ethics","Introductory","5"
"248","Open_edu","Pyliau o banig: beth ydyn nhw a beth allwch chi ei wneud amdanyn nhw","Intermediate","3"
"249","Open_edu","Reading and note taking – preparation for study","Introductory","12"
"250","Open_edu","Recovery strategies in sport and exercise","Intermediate","8"
"251","Open_edu","Returning to STEM","Advanced","24"
"252","Open_edu","Science promotion","Advanced","12"
"253","Open_edu","Social care in the community","Introductory","3"
"254","Open_edu","Social care, social work and the law - England and Wales","Intermediate","4"
"255","Open_edu","Social media and networks in health and social care","Introductory","4"
"256","Open_edu","Social psychology and politics","Intermediate","8"
"257","Open_edu","Sporting women in the media","Intermediate","8"
"258","Open_edu","Stakeholders in marketing and finance","Intermediate","2"
"259","Open_edu","Starting with psychology","Introductory","5"
"260","Open_edu","Storïau unigol: safbwyntiau ar waith cymdeithasol","Beginner","2"
"261","Open_edu","Strategic planning: systems thinking in practice","Advanced","20"
"262","Open_edu","Studying medicine bilingually","Beginner","1"
"263","Open_edu","Succeed in the workplace","Introductory","24"
"264","Open_edu","Supply chain sustainability","Introductory","8"
"265","Open_edu","Supporting and developing resilience in social work","Intermediate","10"
"266","Open_edu","Supporting children and young people's wellbeing","Intermediate","7"
"267","Open_edu","Supporting children's mental health and wellbeing","Introductory","24"
"268","Open_edu","Sure, I know how to talk to people!","Introductory","4"
"269","Open_edu","Sustainable innovations in enterprises","Introductory","9"
"270","Open_edu","Systems modelling","Introductory","4"
"271","Open_edu","Talk the talk","Introductory","12"
"272","Open_edu","Technological innovation: a resource-based view","Advanced","10"
"273","Open_edu","The Ancient Olympics: Bridging past and present","Introductory","5"
"274","Open_edu","The athlete’s journey: transitions through sport","Intermediate","24"
"275","Open_edu","The boundaries of care","Introductory","4"
"276","Open_edu","The caring manager in health and social care","Intermediate","7"
"277","Open_edu","The family at the centre of early learning","Introductory","9"
"278","Open_edu","The impact of technology on children's physical activity","Introductory","6"
"279","Open_edu","The importance of interpersonal skills","Introductory","3"
"280","Open_edu","The market-led organisation","Advanced","4"
"281","Open_edu","The MMR vaccine: Public health, private fears","Advanced","20"
"282","Open_edu","The psychology of cybercrime","Advanced","6"
"283","Open_edu","The role of the manager","Introductory","4"
"284","Open_edu","The science behind wheeled sports","Introductory","8"
"285","Open_edu","The science of nutrition and healthy eating","Introductory","24"
"286","Open_edu","Themes and theories for working in virtual project teams","Advanced","4"
"287","Open_edu","Three principles of a coaching approach","Introductory","2"
"288","Open_edu","Training for endurance in sport and fitness","Intermediate","5"
"289","Open_edu","Training for speed and power in sport and fitness","Intermediate","5"
"290","Open_edu","Understanding ADHD","Intermediate","12"
"291","Open_edu","Understanding and managing risk","Advanced","20"
"292","Open_edu","Understanding depression and anxiety","Intermediate","8"
"293","Open_edu","Understanding management: I'm managing thank you!","Introductory","5"
"294","Open_edu","Understanding mental capacity","Introductory","24"
"295","Open_edu","Understanding narratives in health care","Introductory","5"
"296","Open_edu","Understanding operations management","Advanced","4"
"297","Open_edu","Understanding organisational value","Introductory","7"
"298","Open_edu","Understanding research with children and young people","Intermediate","16"
"299","Open_edu","Understanding service improvement in healthcare","Advanced","10"
"300","Open_edu","Understanding your customers","Intermediate","8"
"301","Open_edu","Understanding your sector","Introductory","24"
"302","Open_edu","Using voluntary work to get ahead in the job market","Introductory","12"
"303","Open_edu","Visualisation: Visual representations of data and information","Intermediate","8"
"304","Open_edu","What about me? A personal development course for carers in Wales","Beginner","5"
"305","Open_edu","What do we mean by digital health and social care?","Introductory","4"
"306","Open_edu","What happens to you when you read?","Introductory","3"
"307","Open_edu","Why are nonhuman animals victims of harm?","Intermediate","2"
"308","Open_edu","Why use literature reviews in health and social care?","Intermediate","2"
"309","Open_edu","Work and mental health","Intermediate","5"
"310","Open_edu","Working in diverse teams","Introductory","24"
"311","Open_edu","Working in groups and teams","Advanced","8"
"312","Open_edu","Working life and learning","Intermediate","25"
"313","Open_edu","Working together for children: Stirling","Advanced","10"
"314","Open_edu","Workplace learning with coaching and mentoring","Advanced","9"
"315","Open_edu","Ymarfer corff ac iechyd meddwl","Intermediate","2"
"316","Open_edu","Ymwybyddiaeth ofalgar ym maes iechyd meddwl ac mewn carchardai","Intermediate","10"
"317","Open_edu","Young people’s wellbeing","Intermediate","16"
"318","Open_edu","A brief history of communication: hieroglyphics to emojis","Introductory","5"
"319","Open_edu","A global dimension to science education in schools","Intermediate","8"
"320","Open_edu","Academi Arian MSE","Introductory","12"
"321","Open_edu","Accessibility of eLearning","Advanced","15"
"322","Open_edu","Addysg gynhwysol: deall yr hyn a olygwn (Cymru)","Introductory","5"
"323","Open_edu","Advanced French: At the science museum in Paris","Advanced","15"
"324","Open_edu","Advanced German: Language, culture and history","Advanced","12"
"325","Open_edu","Advanced German: Regional landscapes","Advanced","15"
"326","Open_edu","Advanced Spanish: Art in Buenos Aires","Advanced","4"
"327","Open_edu","Advanced Spanish: Arts and crafts","Advanced","12"
"328","Open_edu","Advanced Spanish: Language in context","Advanced","4"
"329","Open_edu","Advanced Spanish: Protest song","Advanced","4"
"330","Open_edu","All my own work: exploring academic integrity","Introductory","6"
"331","Open_edu","Am I ready to be a distance learner?","Introductory","3"
"332","Open_edu","An introduction to business cultures","Introductory","4"
"333","Open_edu","An introduction to complex numbers","Advanced","16"
"334","Open_edu","An introduction to crime and criminology","Introductory","6"
"335","Open_edu","An introduction to design engineering","Introductory","10"
"336","Open_edu","An introduction to electronics","Intermediate","10"
"337","Open_edu","An introduction to geology","Introductory","12"
"338","Open_edu","An introduction to leadership for school governors (Wales)","Introductory","5"
"339","Open_edu","An introduction to minerals and rocks under the microscope","Intermediate","8"
"340","Open_edu","An introduction to music theory","Introductory","8"
"341","Open_edu","An introduction to Open Educational Resources (OER)","Advanced","6"
"342","Open_edu","An introduction to public leadership","Introductory","9"
"343","Open_edu","An overview of active galaxies","Advanced","15"
"344","Open_edu","Approaches to software development","Advanced","9"
"345","Open_edu","Approaching literature: Reading Great Expectations","Intermediate","15"
"346","Open_edu","Approaching plays","Intermediate","15"
"347","Open_edu","Approaching poetry","Intermediate","20"
"348","Open_edu","Approaching prose fiction","Intermediate","20"
"349","Open_edu","Aquatic mammals","Introductory","5"
"350","Open_edu","Art and life in ancient Egypt","Introductory","30"
